latitude,longitude,start_date,location_id
3.789444444, -76.57305556,1997-06-01,266
3.8, -76.93333333,2007-12-15,267
3.809444444, -76.57388889,2004-10-20,268
3.840277778, -76.50638889,2006-11-21,269
3.858611111, -76.47916667,1992-07-04,270
3.864166667, -76.49916667,2008-11-01,271
4.001388889, -76.44527778,1987-06-01,272
4.007777778, -76.44055556,1993-06-01,273
4.014166667, -76.43888889,1985-11-01,274
4.066666667, -75.91666667,2007-12-17,275
4.176388889, -75.85555556,1992-02-01,276
4.253611111, -76.35416667,1992-06-01,277
4.256388889, -76.35361111,1992-06-01,278
4.296666667, -75.69194444,2004-11-04,279
4.296944444, -75.69277778,2004-11-05,280
4.463611111, -75.51916667,1992-05-01,281
4.71, -75.63583333,2004-10-29,282
4.7125, -75.64388889,1997-06-01,283
4.7175, -75.59222222,2000-12-12,284
4.824166667, -75.60861111,1996-08-01,285
4.829166667, -75.58111111,2002-12-17,286
4.881111111, -75.57111111,1996-05-01,287
5.376805556, -75.79344444,2012-10-29,288
5.381944444, -75.755,1992-01-01,289
5.424166667, -75.76833333,2008-11-01,290
5.443611111, -75.77055556,2014-08-05,291
7.716666667, -70.93333333,1982-07-01,292
7.8, -64.71666667,1994-06-01,293
7.918055556, -64.76361111,1994-06-01,294
8.0, -65.0,1983-07-01,295
8.166666667, -63.5,1991-07-01,296
8.516666667, -63.61666667,1988-07-01,297
8.65, -62.8,1991-07-01,298
8.7, -62.75,1984-11-01,299
8.70208, -62.88345,2009-06-15,300
8.75, -63.25,1984-11-01,301
8.833333333, -63.25,1984-09-01,302
9.166666667, -69.33333333,1986-07-01,303
9.283333333, -69.5,1997-06-01,304
9.3501, -69.43025,2000-06-01,305
9.416666667, -74.81666667,1983-05-01,306
9.466666667, -69.41666667,1994-06-01,307
9.466666667, -70.21666667,1982-09-01,308
9.683333333, -68.83333333,1984-07-01,309
