env,TestId,Specie,latitude,longitude,Productivity (y),data_final,date_final,age (years),Feature,bio_1,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,elev
1,204118A,PPAT,-38.6,-72.4,10.93,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,10.95,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,10.96,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,10.99,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,11.03,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,11.12,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,11.18,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,11.23,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,11.28,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,11.30,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,11.39,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,11.39,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,11.44,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,11.47,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,11.49,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,11.51,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,11.56,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,11.64,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,11.79,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,11.82,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,11.88,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,11.95,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,11.96,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
2,202112A1,PGRN,-37.40916667,-73.26694444,6.48,7/6/1995,7/4/2003,8,,11.32916641,15.01666641,8,1418,279,24,78.1102829,757,89,89,716,10.125,55.63186646,287.2238464,22,3.799999952,18.20000076,8.600000381,15.01666641,342
2,202112A1,PGRN,-37.40916667,-73.26694444,6.68,7/6/1995,7/4/2003,8,,11.32916641,15.01666641,8,1418,279,24,78.1102829,757,89,89,716,10.125,55.63186646,287.2238464,22,3.799999952,18.20000076,8.600000381,15.01666641,342
2,202112A1,PGRN,-37.40916667,-73.26694444,6.78,7/6/1995,7/4/2003,8,,11.32916641,15.01666641,8,1418,279,24,78.1102829,757,89,89,716,10.125,55.63186646,287.2238464,22,3.799999952,18.20000076,8.600000381,15.01666641,342
2,202112A1,PGRN,-37.40916667,-73.26694444,6.78,7/6/1995,7/4/2003,8,,11.32916641,15.01666641,8,1418,279,24,78.1102829,757,89,89,716,10.125,55.63186646,287.2238464,22,3.799999952,18.20000076,8.600000381,15.01666641,342
2,202112A1,PGRN,-37.40916667,-73.26694444,6.88,7/6/1995,7/4/2003,8,,11.32916641,15.01666641,8,1418,279,24,78.1102829,757,89,89,716,10.125,55.63186646,287.2238464,22,3.799999952,18.20000076,8.600000381,15.01666641,342
2,202112A1,PGRN,-37.40916667,-73.26694444,6.98,7/6/1995,7/4/2003,8,,11.32916641,15.01666641,8,1418,279,24,78.1102829,757,89,89,716,10.125,55.63186646,287.2238464,22,3.799999952,18.20000076,8.600000381,15.01666641,342
2,202112A1,PGRN,-37.40916667,-73.26694444,7.19,7/6/1995,7/4/2003,8,,11.32916641,15.01666641,8,1418,279,24,78.1102829,757,89,89,716,10.125,55.63186646,287.2238464,22,3.799999952,18.20000076,8.600000381,15.01666641,342
2,202112A1,PGRN,-37.40916667,-73.26694444,7.27,7/6/1995,7/4/2003,8,,11.32916641,15.01666641,8,1418,279,24,78.1102829,757,89,89,716,10.125,55.63186646,287.2238464,22,3.799999952,18.20000076,8.600000381,15.01666641,342
2,202112A1,PGRN,-37.40916667,-73.26694444,7.45,7/6/1995,7/4/2003,8,,11.32916641,15.01666641,8,1418,279,24,78.1102829,757,89,89,716,10.125,55.63186646,287.2238464,22,3.799999952,18.20000076,8.600000381,15.01666641,342
2,202112A1,PGRN,-37.40916667,-73.26694444,7.46,7/6/1995,7/4/2003,8,,11.32916641,15.01666641,8,1418,279,24,78.1102829,757,89,89,716,10.125,55.63186646,287.2238464,22,3.799999952,18.20000076,8.600000381,15.01666641,342
2,202112A1,PGRN,-37.40916667,-73.26694444,7.48,7/6/1995,7/4/2003,8,,11.32916641,15.01666641,8,1418,279,24,78.1102829,757,89,89,716,10.125,55.63186646,287.2238464,22,3.799999952,18.20000076,8.600000381,15.01666641,342
